UNIQUE_ID,State_Name,State_Abbrev,Date,Latitude,Longitude,Population,Act_Total_Cases,Act_Total_Deaths_Pct_Pop, Act_Total_Deaths_Per_Million ,Act_Total_Deaths,Act_New_Cases,Act_New_Deaths,Est_Total_Deaths,Est_New_Cases,Estimated_New_Deaths
Alabama_43891,Alabama,AL,2020-03-01,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,3 ,0 
Alabama_43892,Alabama,AL,2020-03-02,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,7 ,0 
Alabama_43893,Alabama,AL,2020-03-03,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,14 ,0 
Alabama_43894,Alabama,AL,2020-03-04,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,24 ,0 
Alabama_43895,Alabama,AL,2020-03-05,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,40 ,0 
Alabama_43896,Alabama,AL,2020-03-06,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,60 ,0 
Alabama_43897,Alabama,AL,2020-03-07,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,89 ,0 
Alabama_43898,Alabama,AL,2020-03-08,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,130 ,0 
Alabama_43899,Alabama,AL,2020-03-09,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,177 ,0 
Alabama_43900,Alabama,AL,2020-03-10,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,239 ,0 
Alabama_43901,Alabama,AL,2020-03-11,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,297 ,0 
Alabama_43902,Alabama,AL,2020-03-12,32.32 ,-86.90,"4,908,621 ",0 ,0.000000%, -   ,0.00,0 ,0 ,0 ,381 ,0 
